,HomeTeam,AwayTeam,Results
273,Arsenal,Bournemouth,1
274,Chelsea,Tottenham,1
275,Crystal Palace,Man United,2
276,Liverpool,Watford,1
277,Man City,West Ham,1
278,Southampton,Fulham,1
279,Bournemouth,Man City,2
280,Brighton,Huddersfield,1
281,Burnley,Crystal Palace,2
282,Man United,Southampton,1
283,Tottenham,Arsenal,0
284,West Ham,Newcastle,1
285,Wolves,Cardiff,1
286,Everton,Liverpool,0
287,Fulham,Chelsea,2
288,Watford,Leicester,1
289,Cardiff,West Ham,1
290,Crystal Palace,Brighton,2
291,Huddersfield,Bournemouth,2
292,Leicester,Fulham,1
293,Man City,Watford,1
294,Newcastle,Everton,1
295,Southampton,Tottenham,1
296,Arsenal,Man United,1
297,Chelsea,Wolves,0
298,Liverpool,Burnley,1
299,Bournemouth,Newcastle,0
300,Burnley,Leicester,2
301,West Ham,Huddersfield,1
302,Everton,Chelsea,1
303,Fulham,Liverpool,2
304,Brighton,Southampton,2
305,Burnley,Wolves,1
306,Crystal Palace,Huddersfield,1
307,Fulham,Man City,2
308,Leicester,Bournemouth,1
309,Man United,Watford,1
310,West Ham,Everton,2
311,Cardiff,Chelsea,2
312,Liverpool,Tottenham,1
313,Arsenal,Newcastle,1
314,Watford,Fulham,1
315,Wolves,Man United,1
316,Chelsea,Brighton,1
317,Man City,Cardiff,1
318,Tottenham,Crystal Palace,1
319,Southampton,Liverpool,2
320,Bournemouth,Burnley,2
321,Huddersfield,Leicester,2
322,Newcastle,Crystal Palace,2
323,Everton,Arsenal,1
324,Chelsea,West Ham,1
325,Leicester,Newcastle,2
326,Brighton,Bournemouth,2
327,Burnley,Cardiff,1
328,Fulham,Everton,1
329,Man United,West Ham,1
330,Southampton,Wolves,1
331,Tottenham,Huddersfield,1
332,Crystal Palace,Man City,2
333,Liverpool,Chelsea,1
334,Watford,Arsenal,2
335,Brighton,Cardiff,2
336,Bournemouth,Fulham,2
337,Huddersfield,Watford,2
338,Man City,Tottenham,1
339,Newcastle,Southampton,1
340,West Ham,Leicester,0
341,Wolves,Brighton,0
342,Arsenal,Crystal Palace,2
343,Cardiff,Liverpool,2
344,Everton,Man United,1
345,Chelsea,Burnley,0
346,Tottenham,Brighton,1
347,Watford,Southampton,0
348,Man United,Man City,2
349,Wolves,Arsenal,1
350,Liverpool,Huddersfield,1
351,Brighton,Newcastle,0
352,Crystal Palace,Everton,0
353,Fulham,Cardiff,1
354,Southampton,Bournemouth,0
355,Tottenham,West Ham,2
356,Watford,Wolves,2
357,Burnley,Man City,2
358,Leicester,Arsenal,1
359,Man United,Chelsea,0
360,Everton,Burnley,1
361,Bournemouth,Tottenham,1
362,Cardiff,Crystal Palace,2
363,Newcastle,Liverpool,2
364,West Ham,Southampton,1
365,Wolves,Fulham,1
366,Arsenal,Brighton,0
367,Chelsea,Watford,1
368,Huddersfield,Man United,0
369,Man City,Leicester,1
370,Brighton,Man City,2
371,Burnley,Arsenal,2
372,Crystal Palace,Bournemouth,1
373,Fulham,Newcastle,2
374,Leicester,Chelsea,0
375,Liverpool,Wolves,1
376,Man United,Cardiff,2
377,Southampton,Huddersfield,0
378,Tottenham,Everton,0
379,Watford,West Ham,2
